Blog,Recipe,Link,Time,Ingredients
Two peas and their pod,Broccoli Cheese Soup,https://www.twopeasandtheirpod.com/broccoli-cheese-soup/,10 mins,"['olive oil', 'yellow onion,', 'carrots,', 'garlic,', 'unsalted butter,', 'all-purpose flour', 'vegetable broth or chicken broth', 'half-and-half', 'kosher salt', 'dried mustard', 'paprika', 'black pepper', 'red pepper flakes', 'chopped broccoli florets', 'chopped broccoli stems', 'shredded sharp cheddar cheese,']"
Two peas and their pod,Ultimate Chocolate Cookies,https://www.twopeasandtheirpod.com/chocolate-cookies-recipe/,15 mins,"['all-purpose flour', 'baking soda', 'sea salt', 'dutch processed cocoa', 'unsalted butter,', 'granulated sugar', 'light brown sugar', 'large eggs', 'vanilla extract', 'chocolate chips', 'chocolate chunks', 'chocolate baking wafers or big chocolate chunks,', 'sea salt flakes,']"
Two peas and their pod,Classic Chicken Noodle Soup,https://www.twopeasandtheirpod.com/recipe-for-chicken-noodle-soup/,10 mins,"['unsalted butter or olive oil', 'yellow onion,', 'carrots,', 'celery ribs,', 'garlic,', 'bay leaves', 'chopped fresh thyme', 'chicken broth or stock', 'wide egg noodles', 'cooked shredded chicken', 'freshly squeezed lemon juice,', 'chopped fresh italian parsley leaves', 'kosher salt and freshly ground black pepper,']"
Two peas and their pod,Flourless Chocolate Cake,https://www.twopeasandtheirpod.com/flourless-chocolate-cake/,15 mins,"['for the cake:', 'semisweet chocolate chips or chopped chocolate', 'unsalted butter', 'granulated sugar', 'salt', 'vanilla extract', 'large eggs', 'dutch process cocoa powder', 'for the chocolate ganache:', 'semisweet chocolate chips or chopped chocolate', 'heavy cream']"
Two peas and their pod,Chocolate Covered Strawberries,https://www.twopeasandtheirpod.com/chocolate-covered-strawberries/,20 mins,"['fresh strawberries', 'chocolate chips or chopped chocolate,', 'coconut oil,', 'optional toppings: chopped nuts,']"
Two peas and their pod,Valentine’s Day Breakfast Board,https://www.twopeasandtheirpod.com/valentines-day-breakfast-board/,20 mins,"['heart pancakes', 'cooked bacon', 'hard-boiled eggs', 'mini chocolate donuts', 'mini yogurt parfaits', 'strawberries', 'raspberries', 'blood oranges', 'red grapes', 'whipped cream', 'maple syrup', 'raspberry jam', 'nutella', 'chocolate milk', 'sprinkles']"
Two peas and their pod,White Chicken Chili Nachos,https://www.twopeasandtheirpod.com/white-chicken-chili-nachos/,10 mins,"['tortilla chips', 'shredded monterey jack cheese,', 'rotisserie chicken,', 'white beans,', 'green chiles', 'avocado,', 'scallions,', 'cilantro,', 'jalapeño pepper,', 'sour cream', 'salsa verde,']"
Two peas and their pod,Slow Cooker Turkey Chili,https://www.twopeasandtheirpod.com/slow-cooker-turkey-chili/,10 mins,"['olive oil', '99% lean ground turkey', 'medium onion,', 'red pepper,', 'yellow pepper,', 'tomato sauce', 'petite diced tomatoes', 'canned black beans,', 'canned red kidney beans,', 'jar deli-sliced tamed jalapeno peppers,', 'frozen corn', 'chili powder', 'cumin', 'salt and black pepper,', 'optional toppings: green onions,']"
Two peas and their pod,Queso Dip,https://www.twopeasandtheirpod.com/queso-dip/,10 mins,"['avocado oil,', 'diced yellow onion', 'jalapeno,', 'garlic,', 'cream cheese,', 'whole milk,', 'kosher salt', 'black pepper', 'cheddar cheese,', 'monterey jack,', 'mild green chiles', 'roma tomato,', 'chopped cilantro', 'chipotle peppers in adobo sauce,', 'for garnish: pico de gallo,', 'tortilla chips,']"
Two peas and their pod,Best Bean Dip,https://www.twopeasandtheirpod.com/best-bean-dip/,5 mins,"['refried beans', 'plain greek yogurt or sour cream', 'can diced mild green chiles,', 'salsa', 'chili powder', 'ground cumin', 'garlic powder', 'onion powder', 'paprika', 'salt and black pepper,', 'shredded cheddar or mexican blend cheese,', 'toppings: sliced green onion,', 'tortilla chips,']"
