Blog,Recipe,Link,Time,Ingredients
Chelseas Messy Apron,Butter Chicken Meatballs,https://www.chelseasmessyapron.com/butter-chicken-meatballs/,1 hour 15 minutes,"['ground cumin, garam masala', 'ground turmeric and paprika', 'finely minced garlic, finely minced ginger', 'cayenne pepper', 'ground chicken', 'yellow onion', 'panko', 'egg', 'finely chopped cilantro', 'freshly squeezed lemon juice', 'fine sea salt and freshly cracked pepper', 'white flour', 'coconut oil (measured when solid)', 'unsalted butter', 'finely diced yellow onion', 'white sugar', 'tomato paste', 'fire-roasted crushed tomatoes', 'heavy whipping cream', 'serve with: cooked basmati rice, toasted naan, and fresh cilantro (optional)']"
Chelseas Messy Apron,Cookies and Cream Muddy Buddies,https://www.chelseasmessyapron.com/cookies-and-cream-muddy-buddies/,1 hour 30 minutes,"['rice chex cereal', 'regular oreos cookies', 'milk chocolate chips', 'coconut oil', 'white chocolate chips', 'milk chocolate chips (mini or regular-sized)', 'mini oreo cookies']"
Chelseas Messy Apron,Chickpea Curry,https://www.chelseasmessyapron.com/chickpea-curry/,55 minutes,"['coconut oil', 'finely diced red onion', 'finely diced carrot', 'minced garlic', 'minced fresh ginger', 'red curry paste', 'yellow curry powder', 'garam masala, paprika, ground coriander, white sugar', 'ground cumin', 'turmeric', 'fine sea salt and black pepper', 'fire-roasted crushed tomatoes', 'chickpeas', 'coconut milk', 'freshly-squeezed lime juice', 'finely diced cilantro', 'for serving: cooked basmati rice (note 3), warmed naan (note 4), raita (note 5)']"
Chelseas Messy Apron,Bean Tostadas,https://www.chelseasmessyapron.com/bean-tostadas/,1 hour 30 minutes,"['roasted and salted whole cashews', 'fresh cilantro (leaves & stems)', 'lime juice + 1/2 teaspoon zest (1-2 limes)', 'water', 'extra virgin olive oil', 'garlic powder', 'extra-thin corn tortillas', 'olive oil cooking spray', 'fine sea salt & cracked pepper', 'pinto beans', 'very ripe avocados', 'fresh lime juice', 'garlic powder', 'cherry tomatoes,', 'crisp romaine or iceberg lettuce,', 'queso fresco cheese (or more to taste)']"
Chelseas Messy Apron,Pinto Bean Tacos,https://www.chelseasmessyapron.com/pinto-bean-tacos/,1 hour 30 minutes,"['large red onion', 'red wine vinegar', 'fine sea salt', 'white granulated sugar', 'roasted and salted whole cashews', 'fresh cilantro (leaves & stems)', 'lime juice + 1/2 teaspoon zest', 'water', 'extra virgin olive oil', 'garlic powder', 'thin small corn tortillas', 'homemade pinto beans', 'small green cabbage', 'optional toppings: 1 large ripe avocado, 1 large corn on the cob ((~3/4 cup) or use canned or thawed frozen corn), cotija cheese, additional cilantro, and lime wedges']"
Chelseas Messy Apron,Bean and Cheese Burritos,https://www.chelseasmessyapron.com/bean-and-cheese-burritos/,50 minutes,"['extra virgin olive oil', 'diced yellow onion', 'minced garlic', 'diced jalapeno', 'ground cumin, paprika, garlic powder, onion powder', 'ground chili powder', 'fine sea salt and cracked pepper', 'long grain white rice', 'chicken broth or stock', 'prepared pinto beans (or refried beans)', 'black beans', 'frozen corn', 'thinly sliced green onions', 'freshly squeezed lime juice', 'freshly grated extra sharp cheddar cheese', 'sour cream', '(burrito sized) tortillas', 'olive oil cooking spray', 'optional toppings/dips: salsa, sour cream, fresh lime, cherry tomatoes, avocado, cilantro']"
Chelseas Messy Apron,Incredible Pinto Beans! (Crockpot or Instant Pot),https://www.chelseasmessyapron.com/pinto-beans/,1 hour 30 minutes,"['thick-cut bacon,', 'diced yellow onion', 'diced red pepper,', 'minced garlic', 'minced jalapeños', 'fire-roasted crushed tomatoes', 'dried pinto beans', 'dried oregano and black pepper', 'garlic powder', 'ground cumin, ground paprika', 'ground chili powder', 'fine sea salt and pepper', 'chicken stock', 'water', 'optional: 1/3 cup finely chopped cilantro, extra- sharp cheddar cheese (see note 2)']"
Chelseas Messy Apron,Valentine M&M Cookie Bars,https://www.chelseasmessyapron.com/valentine-mm-cookie-bars/,45 minutes,"['unsalted butter,', 'light brown sugar,', 'white granulated sugar', 'egg', 'egg yolk', 'vanilla extract', 'pure maple syrup', 'all-purpose white flour', 'baking soda', 'fine sea salt', 'milk chocolate chips', ""valentine's m&m's""]"
Chelseas Messy Apron,Southwest Egg Rolls (Air Fryer Recipe!),https://www.chelseasmessyapron.com/southwest-egg-rolls/,42 minutes,"['extra-virgin olive oil', 'diced green pepper', 'diced yellow onion', 'diced jalapeño', 'minced garlic', 'ground cumin, paprika, garlic powder, onion powder', 'ground chili powder', 'fine sea salt and cracked pepper', 'diced rotisserie chicken', 'black beans', 'frozen corn', 'finely chopped cilantro', 'freshly squeezed lime juice', 'freshly grated extra-sharp cheddar cheese', 'freshly grated monterey jack cheese', 'sour cream (lite or fat-free is great)', '12-14 refrigerated egg roll wrappers', 'olive oil cooking spray', 'freshly squeezed lime juiced and 1/4 teaspoon lime zest', 'minced garlic', 'loosely packed fresh cilantro', 'minced jalapeño', 'sour cream']"
Chelseas Messy Apron,Chipotle Chicken Salad,https://www.chelseasmessyapron.com/chipotle-chicken-salad/,30 minutes,"['chopped romaine lettuce', 'thinly sliced green cabbage', 'diced cooked chicken', 'black beans,', 'finely diced red onions', 'ear fresh corn', 'large avocado,', 'chopped fresh cilantro', 'roasted and salted pepitas', 'optional: sprinkle of cotija cheese and tortilla strips for extra crunch if desired!', 'red wine vinegar', 'honey', 'vegetable oil', 'ground cumin, dried oregano', 'coarsely chopped garlic', 'fine sea salt and freshly cracked pepper', '1 large chipotle pepper (with surrounding adobo sauce)', 'freshly squeezed lime juice']"
Chelseas Messy Apron,7 Layer Bars,https://www.chelseasmessyapron.com/7-layer-bars/,1 hour 50 minutes,"['graham cracker crumbs', 'unsalted butter,', 'fine sea salt', 'milk chocolate chips', 'butterscotch chips', 'white chocolate chips', 'chopped pecans', 'sweetened condensed milk', 'unsweetened shredded coconut']"
Chelseas Messy Apron,Black Bean Bowls,https://www.chelseasmessyapron.com/black-bean-bowls/,45 minutes,"['prepared black beans', 'basmati rice', 'full-fat coconut milk', 'water', 'lime juice + 1 teaspoon zest', 'fine sea salt and cracked pepper', 'roasted and salted whole cashews', 'cilantro (leaves & stems)', 'lime juice + 1/2 teaspoon zest', 'water', 'extra virgin olive oil', 'garlic powder', 'diced ripe mango', 'finely chopped jalapeño', 'finely chopped red onion', 'optional: fresh lime, additional cilantro, cotija cheese, additional cashews']"
Chelseas Messy Apron,Homemade Oreos,https://www.chelseasmessyapron.com/heart-shaped-valentines-oreos/,38 minutes,"['super moist triple chocolate fudge cake mix', 'instant chocolate pudding mix', 'eggs', 'unsalted butter', 'vanilla extract', 'powdered sugar', 'white, granulated sugar', 'plain shortening', 'fine sea salt', 'vanilla extract', 'hot water']"
