Blog,Recipe,Link,Time,Ingredients
Oh sweet basil,The Best Chocolate Cookies,https://ohsweetbasil.com/the-best-chocolate-chip-chocolate-cookies-recipe/,20 minutes,"['butter', 'eggs', 'sugar', 'brown sugar', 'vanilla', 'flour', 'salt', 'baking soda', 'cocoa', 'pudding', 'chocolate chips']"
Oh sweet basil,Gruyere Potatoes,https://ohsweetbasil.com/gruyere-potatoes/,1 hour,"['gruyere cheese', 'parmesan cheese', 'thyme leaves', 'sea salt', 'garlic', 'yukon gold potatoes', 'butter']"
Oh sweet basil,Jewish Kugel,https://ohsweetbasil.com/jewish-kugel-recipe/,1 hour 20 minutes,"['egg noodles', 'eggs', 'sugar', 'cream cheese', 'butter', 'sour cream', 'cottage cheese', 'butter', 'sugar', 'graham cracker crumbs']"
Oh sweet basil,Slow Cooker Beef Brisket,https://ohsweetbasil.com/slow-cooker-beef-brisket-recipe/,50 minutes,"['bbq rub', 'bbq sauce', 'beef brisket', 'oil']"
Oh sweet basil,Mini Cheese Ball Pretzel Bites,https://ohsweetbasil.com/mini-cheese-ball-pretzel-bites-recipe/,15 minutes,"['cream cheese', 'jar kraft old english sharp cheese', 'grated medium cheddar cheese', 'scant teaspoon garlic salt', 'scant teaspoon onion salt', 'lemon juice', 'heaping tablespoons mayonnaise', 'pecans', 'chopped craisins', 'fresh parsley', 'medium pretzel rods']"
Oh sweet basil,The Most Incredible Pull Apart Baked Brie,https://ohsweetbasil.com/the-most-incredible-pull-apart-baked-brie-recipe/,30 minutes,"['bacon', 'caramelized onion jam', 'raspberries', 'maple syrup', 'balsamic vinegar', 'butter', 'bread bowl', 'olive oil', 'garlic', 'parsley', 'rosemary', 'thyme', ' brie', 'honey']"
Oh sweet basil,Perfectly Southern Sweet Potato Pie,https://ohsweetbasil.com/perfectly-southern-sweet-potato-pie-recipe/,1 hour 15 minutes,"['sweet potatoes', 'dark brown sugar', 'sugar', 'butter', 'eggs', 'vanilla', 'pumpkin pie spice', 'cinnamon', 'heavy cream ', 'pie crust']"
Oh sweet basil,Swirled Pumpkin Cheesecake,https://ohsweetbasil.com/swirled-pumpkin-cheesecake-recipe/,9 hours 35 minutes,"['graham cracker crumbs', 'brown sugar', 'sugar', 'cinnamon', 'melted butter', 'cream cheese', 'sugar', 'cornstarch\xa0', 'vanilla', 'eggs', 'canned pumpkin', 'pumpkin pie spice', 'cinnamon', 'whipped cream']"
Oh sweet basil,Slow Cooker Prime Rib,https://ohsweetbasil.com/slow-cooker-prime-rib-recipe/,1 day 5 hours,"['prime rib', 'kosher salt', 'black pepper', 'garlic', 'rosemary', 'butter']"
Oh sweet basil,Spice Cake,https://ohsweetbasil.com/layered-spice-cake-recipe/,50 minutes,"['flour', 'baking powder', 'baking soda', 'cornstarch', 'salt', 'cinnamon', 'nutmeg', 'ground ginger', 'allspice', 'cloves', 'light brown sugar', 'dark brown sugar', 'vegetable oil', 'applesauce', 'eggs', 'vanilla', 'buttermilk', 'cream cheese', 'unsalted butter', 'powdered sugar', 'vanilla']"
Oh sweet basil,Stuffing,https://ohsweetbasil.com/make-ahead-no-fuss-stuffing-recipe/,1 day 1 hour,"['bread', 'butter', 'shallot', 'celery', 'garlic', 'fresh parsley', 'sage', 'thyme leaves', 'savory leaves', 'rosemary leaves', 'kosher salt', 'black pepper', 'chicken or vegetable broth']"
Oh sweet basil,The Best Turkey Brine,https://ohsweetbasil.com/my-favorite-turkey-brine-recipe/,1 day 7 hours,"['apple cider', 'orange juice', 'water', 'brown sugar', 'kosher salt', 'bay leaves', 'garlic', 'rosemary', 'orange peel', 'lemon peel']"
Oh sweet basil,Reese's Rice Krispies Treats,https://ohsweetbasil.com/reeses-rice-krispies-treats-recipe/,15 minutes,"['sugar', 'corn syrup', 'creamy peanut butter', 'marshmallow fluff', 'rice krispies', 'salt', ""bag reese's peanut butter cups"", 'chocolate chips', 'mini marshmallows']"
Oh sweet basil,Stabilized whipped cream,https://ohsweetbasil.com/how-to-make-stabilized-whipped-cream-recipe/,8 minutes,"['water', 'gelatin', 'whipping cream', 'powdered sugar', 'vanilla']"
Oh sweet basil,Taco Stir-Fry,https://ohsweetbasil.com/taco-stir-fry-recipe/,30 minutes,"['oil', 'butter', 'salt and pepper', 'zucchini', 'onion', 'carrots', 'garlic', 'bell pepper', 'ground beef', 'taco seasoning', 'water', 'frozen corn', 'jalapeno', 'grape tomatoes', 'fresh cilantro\xa0', 'angel hair pasta']"
Oh sweet basil,All Butter Pie Crust,https://ohsweetbasil.com/my-absolute-favorite-pie-crust-recipe/,1 hour 20 minutes,"['all-purpose flour', 'unsalted butter', 'salt', 'granulated sugar', 'ice water']"
Oh sweet basil,Chicken and Gnocchi Soup,https://ohsweetbasil.com/olive-garden-gnocchi-chicken-soup-recipe/,40 minutes,"['olive oil', 'onion', 'celery', 'garlic', 'carrots', 'cooked chicken breasts ', 'chicken broth', 'mini potato gnocchi', 'baby spinach leaves', 'corn starch', 'cold water', 'half and half', 'salt and pepper ']"
Oh sweet basil,Roasted Vegetable Medley,https://ohsweetbasil.com/roasted-vegetables/,40 minutes,"['carrots', 'green beans', 'broccoli', 'olive oil', 'kinder’s buttery steakhouse seasoning']"
Oh sweet basil,French Toast Sticks,https://ohsweetbasil.com/french-toast-sticks-recipe/,20 minutes,"['egg', 'butter', 'milk', 'vanilla', 'cinnamon', 'nutmeg', 'sugar', 'flour', 'salt', 'cereal', 'brioche']"
Oh sweet basil,Cheese Pizza Rolls (aka Cheese Doodles),https://ohsweetbasil.com/cheese-bread-doodles-recipe/,45 minutes,"['all-purpose flour', 'instant yeast', 'salt', 'granulated sugar', 'soy lecithin', 'warm water', 'unsalted butter', ""johnny's garlic seasoning"", 'shredded mozzarella ', 'homemade pizza sauce']"
Oh sweet basil,Best Macaroni and Cheese,https://ohsweetbasil.com/best-macaroni-and-cheese-ever/,55 minutes,"['cornstarch', 'monterey jack cheese', 'sharp cheddar cheese', 'elbow macaroni noodles', 'kosher salt', 'butter', 'salt', 'pepper', 'yellow onion', 'ground mustard', 'whole milk', 'heavy cream', 'worcestershire sauce', 'hot sauce', 'bread', 'shredded parmesan cheese', 'butter']"
Oh sweet basil,Favorite Cowboy Cookies,https://ohsweetbasil.com/favorite-cowboy-cookies-recipe/,39 minutes,"['unsalted butter', 'granulated sugar', 'brown sugar', 'eggs', 'egg yolk', 'vanilla extract', 'all-purpose flour', 'salt', 'baking powder', 'baking soda', 'cinnamon', 'old-fashioned oats', 'frosted flakes', 'coconut flakes', 'pecans', 'peanut butter chips', 'semi-sweet chocolate chips']"
Oh sweet basil,Instant Pot Sloppy Joes,https://ohsweetbasil.com/instant-pot-sloppy-joes-recipe/,40 minutes,"['ground beef', 'onion', 'red bell pepper', 'garlic', 'brown sugar', 'dijon mustard', 'worcestershire sauce', '\xa0liquid smoke', 'chili powder', '\xa0smoked paprika', 'ketchup', 'apple cider vinegar', 'salt and pepper', 'butter', 'buns ']"
Oh sweet basil,Slow Cooker Buffalo Chicken dip,https://ohsweetbasil.com/slow-cooker-buffalo-chicken-dip-recipe/,4 hours 30 minutes,"['chicken', 'buffalo sauce', 'butter', 'water', 'ranch dressing', 'cream cheese', 'shredded cheddar cheese']"
Oh sweet basil,Fried Egg,https://ohsweetbasil.com/how-to-cook-a-fried-egg-recipe/,6 minutes,"['eggs', 'oil', 'salt and pepper']"
Oh sweet basil,Breakfast Sausage and Apple Cheesy Pull Apart,https://ohsweetbasil.com/breakfast-sausage-and-apple-cheesy-pull-apart/,1 hour 5 minutes,"['maple sage breakfast sausage', 'apple', 'fresh parsley', 'onion powder', 'garlic powder', 'refrigerated biscuits', 'bacon', 'butter', 'pure maple syrup', 'shredded cheddar cheese']"
Oh sweet basil,Pumpkin Bread,https://ohsweetbasil.com/better-than-your-neighbors-pumpkin-bread-recipe/,1 hour 5 minutes,"['flour', 'baking soda', 'baking powder', 'cinnamon', 'salt', 'pumpkin pie spice', 'canola oil', 'dark brown sugar', 'sugar', 'large eggs', 'vanilla', 'pumpkin puree']"
Oh sweet basil,Ground Beef Stroganoff,https://ohsweetbasil.com/ground-beef-stroganoff-recipe/,30 minutes,"['all-purpose flour', 'paprika', 'garlic powder', 'ground beef', 'butter', 'onion', 'salt', 'pepper', 'onion powder', 'dried parsley flakes', 'fresh thyme', 'cremini mushrooms', 'beef broth', 'worcestershire sauce', 'sour cream', 'fresh parsley', 'egg noodles']"
Oh sweet basil,Pumpkin Sheet Cake,https://ohsweetbasil.com/pumpkin-sheet-cake-recipe/,35 minutes,"['pure pumpkin puree', 'pumpkin pie spice', 'oil', 'butter', 'boiling water', 'buttermilk', 'eggs', 'baking soda', 'vanilla extract', 'all-purpose flour', 'granulated sugar', 'salt', 'cream cheese', 'butter', 'powdered sugar', 'salt', 'heavy cream']"
Oh sweet basil,Slow Cooker Apple Pie Oatmeal,https://ohsweetbasil.com/apple-pie-slow-cooker-oatmeal-recipe/,7 hours 5 minutes,"['butter', 'apples', 'cinnamon', 'milk', 'oats', 'brown sugar', 'salt', 'milk', 'caramel']"
Oh sweet basil,Quick and Easy Feta Muffins,https://ohsweetbasil.com/quick-and-easy-feta-muffins/,35 minutes,"['flour', 'baking powder', 'garlic powder', 'salt', 'eggs', 'milk', 'butter', 'feta ', 'chives', 'parsley']"
Oh sweet basil,Nutella Swirled Pumpkin Muffins,https://ohsweetbasil.com/nutella-swirled-pumpkin-muffins-recipe/,1 hour 30 minutes,"['flour', 'baking soda', 'cinnamon', 'pumpkin pie spice', 'salt', 'canola oil', 'sour cream', 'buttermilk', 'brown sugar', 'sugar', 'eggs', 'pumpkin', 'nutella']"
