Blog,Recipe,Link,Time,Ingredients
Pinch of Yum,Creamy Tomato Lasagna Florentine,https://pinchofyum.com/creamy-tomato-lasagna-florentine,1 hour 5 minutes,"['olive oil', 'garlic', 'fresh spinach', 'cottage cheese', 'eggs', 'ground flaxmeal', 'oregano', 'italian seasoning', 'nutmeg', 'lemon juice', 'parmesan cheese', 'tomato sauce', 'no-boil', 'oven ready lasagna noodles', 'mozzarella cheese', 'fresh parsley', 'parmesan cheese']"
Pinch of Yum,Old School Homemade Oreos,https://pinchofyum.com/old-school-homemade-oreos,45 minutes,"['cookies:', 'eggs', 'butter', 'vanilla', 'devil’s food cake mix', 'frosting:', 'cream cheese', 'butter', 'vanilla', 'powdered sugar']"
Pinch of Yum,Red Curry Lentils,https://pinchofyum.com/red-curry-lentils,45 minutes,"['lentils', 'onion', 'butter', 'red curry paste', 'garam masala', 'curry powder', 'turmeric', 'sugar', 'garlic', 'ginger', 'cayenne pepper', 'tomato puree', 'coconut milk', 'cream', 'cilantro', 'rice']"
Pinch of Yum,Biscuits and Gravy Egg Bake,https://pinchofyum.com/biscuits-and-gravy-egg-bake,1 hour,"['green chile sausage gravy', 'appleton farms premium pork sausage', 'butter', 'flour', 'simply nature organic whole milk', 'salt', 'pueblo lindo chopped green chiles', 'egg bake', 'simply nature organic cage free eggs', 'simply nature organic whole milk', 'salt', 'bake house creations jumbo buttermilk biscuits', 'happy farms shredded mild cheddar cheese']"
Pinch of Yum,Cozy Homemade Peppermint Mocha,https://pinchofyum.com/cozy-homemade-peppermint-mocha,15 minutes,"['water', 'sugar', 'fresh mint leaves', 'peppermint extract', 'milk', 'unsweetened chocolate bar', 'baking bar', 'espresso', 'strongly brewed coffee', 'whipped cream', 'crushed candy canes']"
Pinch of Yum,Cozy Veggie Korma,https://pinchofyum.com/cozy-veggie-korma,50 minutes,"['the base:', 'butter', 'small onion', 'garlic cloves', 'ginger', 'cardamom pods', 'coriander', 'turmeric', 'cumin', 'red pepper flakes', 'ground cinnamon', 'the veggies:', 'gold potatoes', 'water', 'green beans', 'red bell pepper', 'cubed paneer', 'the sauce:', 'heavy cream', 'plain full-fat yogurt', 'salt', 'garam masala', 'water', 'cilantro', 'rice']"
Pinch of Yum,One-Hour Sheet Pan Thanksgiving Sides,https://pinchofyum.com/one-hour-sheet-pan-thanksgiving-sides,1 hour,"['roasted herbed squash:', 'butternut squash', 'simply nature organic thyme leaves', 'onion', 'maple mustard brussels with walnuts and cherries:', 'brussels sprouts', 'southern grove walnuts', 'southern grove dried cherries', 'specially selected 100% pure maple syrup', 'olive oil', 'dijon mustard', 'creamy garlic mashed potatoes:', 'round potatoes', 'garlic', 'countryside creamery salted butter', 'broth or milk', 'friendly farms sour cream', 'kosher salt', 'optional extras to serve from aldi:', 'butterball turkey', 'chef’s cupboard stuffing mix', 'sweet harvest whole berry cranberry sauce', 'l’oven fresh hawaiian sweet rolls']"
Pinch of Yum,Miracle No Knead Bread,https://pinchofyum.com/no-knead-bread,18 hours 40 minutes,"['all-purpose flour', 'salt', 'instant', 'yeast', 'room temperature water']"
Pinch of Yum,Oatmilk Honey Latte,https://pinchofyum.com/oatmilk-honey-latte,10 minutes,"['oatmilk', 'honey', 'salt', 'strongly brewed coffee', 'cinnamon']"
Pinch of Yum,Sweet Potato Casserole with Brown Sugar Topping,https://pinchofyum.com/sweet-potato-casserole,45 minutes,"['sweet potatoes', 'melted butter', 'milk', 'cane sugar', 'vanilla', 'eggs', 'salt', 'melted butter', 'brown sugar', 'flour', 'pecan pieces']"
